Date,Open,High,Low,Close,AdjustedClose,Volume
2025-11-15,272.4100,272.4100,272.4100,272.4100,272.4100,0
2025-11-16,272.4100,272.4100,272.4100,272.4100,272.4100,0
2025-11-17,268.8200,270.4900,265.7300,267.4600,267.4600,45018300
2025-11-18,269.9900,270.7100,265.3200,267.4400,267.4400,45677300
2025-11-19,265.5300,272.2100,265.5000,268.5600,268.5600,40424500
2025-11-20,270.8300,275.4300,265.9200,266.2500,266.2500,45823600
2025-11-21,265.9500,273.3300,265.6700,271.4900,271.4900,59030800
2025-11-22,271.4900,271.4900,271.4900,271.4900,271.4900,0
2025-11-23,271.4900,271.4900,271.4900,271.4900,271.4900,0
2025-11-24,270.9000,277.0000,270.9000,275.9200,275.9200,65585800
2025-11-25,275.2700,280.3800,275.2500,276.9700,276.9700,46914200
2025-11-26,276.9600,279.5300,276.6300,277.5500,277.5500,33431400
2025-11-27,277.5500,277.5500,277.5500,277.5500,277.5500,0
2025-11-28,277.2600,279.0000,275.9900,278.8500,278.8500,20135600
2025-11-29,278.8500,278.8500,278.8500,278.8500,278.8500,0
2025-11-30,278.8500,278.8500,278.8500,278.8500,278.8500,0
2025-12-01,278.0100,283.4200,276.1400,283.1000,283.1000,46587700
2025-12-02,283.0000,287.4000,282.6300,286.1900,286.1900,53669500
2025-12-03,286.2000,288.6200,283.3000,284.1500,284.1500,43538700
2025-12-04,284.1000,284.7300,278.5900,280.7000,280.7000,43989100
2025-12-05,280.5400,281.1400,278.0500,278.7800,278.7800,47265800
2025-12-06,278.7800,278.7800,278.7800,278.7800,278.7800,0
2025-12-07,278.7800,278.7800,278.7800,278.7800,278.7800,0
2025-12-08,278.1300,279.6700,276.1500,277.8900,277.8900,38211800
2025-12-09,278.1600,280.0300,276.9200,277.1800,277.1800,32193300
2025-12-10,277.7500,279.7500,276.4400,278.7800,278.7800,33038300
2025-12-11,279.1000,279.5900,273.8100,278.0300,278.0300,33248000
2025-12-12,277.9000,279.2200,276.8200,278.2800,278.2800,39532900
2025-12-13,278.2800,278.2800,278.2800,278.2800,278.2800,0
2025-12-14,278.2800,278.2800,278.2800,278.2800,278.2800,0
2025-12-15,280.1500,280.1500,272.8400,274.1100,274.1100,50409100
2025-12-16,272.8200,275.5000,271.7900,274.6100,274.6100,37648600
2025-12-17,275.0100,276.1600,271.6400,271.8400,271.8400,50138700
2025-12-18,273.6100,273.6300,266.9500,272.1900,272.1900,51630700
2025-12-19,272.1500,274.6000,269.9000,273.6700,273.6700,144632000
2025-12-20,273.6700,273.6700,273.6700,273.6700,273.6700,0
2025-12-21,273.6700,273.6700,273.6700,273.6700,273.6700,0
2025-12-22,272.8600,273.8800,270.5100,270.9700,270.9700,36571800
2025-12-23,270.8400,272.5000,269.5600,272.3600,272.3600,29642000
2025-12-24,272.3400,275.4300,272.2000,273.8100,273.8100,17910600
2025-12-25,273.8100,273.8100,273.8100,273.8100,273.8100,0
2025-12-26,274.1600,275.3700,272.8600,273.4000,273.4000,21521800
2025-12-27,273.4000,273.4000,273.4000,273.4000,273.4000,0
2025-12-28,273.4000,273.4000,273.4000,273.4000,273.4000,0
2025-12-29,272.6900,274.3600,272.3500,273.7600,273.7600,23715200
2025-12-30,272.8100,274.0800,272.2800,273.0800,273.0800,22139600
2025-12-31,273.0600,273.6800,271.7500,271.8600,271.8600,27293600
2026-01-01,271.8600,271.8600,271.8600,271.8600,271.8600,0
2026-01-02,272.2600,277.8400,269.0000,271.0100,271.0100,37838100
2026-01-03,271.0100,271.0100,271.0100,271.0100,271.0100,0
2026-01-04,271.0100,271.0100,271.0100,271.0100,271.0100,0
2026-01-05,270.6400,271.5100,266.1400,267.2600,267.2600,45647200
2026-01-06,267.0000,267.5500,262.1200,262.3600,262.3600,52352100
2026-01-07,263.2000,263.6800,259.8100,260.3300,260.3300,48309800
2026-01-08,257.0200,259.2900,255.7000,259.0400,259.0400,50419300
2026-01-09,259.0800,260.2100,256.2200,259.3700,259.3700,39997000
2026-01-10,259.3700,259.3700,259.3700,259.3700,259.3700,0
2026-01-11,259.3700,259.3700,259.3700,259.3700,259.3700,0
2026-01-12,259.1600,261.3000,256.8000,260.2500,260.2500,45263800
2026-01-13,258.7200,261.8100,258.3900,261.0500,261.0500,45730800
2026-01-14,259.4900,261.8200,256.7100,259.9600,259.9600,40019400
2026-01-15,260.6500,261.0400,257.0500,258.2100,258.2100,39388600
2026-01-16,257.9000,258.9000,254.9300,255.5300,255.5300,72142800
2026-01-17,255.5300,255.5300,255.5300,255.5300,255.5300,0
2026-01-18,255.5300,255.5300,255.5300,255.5300,255.5300,0
2026-01-19,255.5300,255.5300,255.5300,255.5300,255.5300,0
2026-01-20,252.7300,254.7900,243.4200,246.7000,246.7000,80267500
2026-01-21,248.7000,251.5600,245.1800,247.6500,247.6500,54641700
